entity_number,registration_date,status,entity_name,jurisdiction,agent_for_service_of_process
C0391635,02/25/1960,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, MINNIE       MCADOW BARRACKS NO. 1977, FAIR OAKS, CALIFORNIA",CALIFORNIA,JOHN E WHITEFORD
C0394151,04/06/1960,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, RED BLUFF    BARRACKS NO. 1700 RED BLUFF, CALIFORNIA",CALIFORNIA,EDWARD T WILLIAMS
C0396710,05/25/1960,ACTIVE,"A-1 CATERING, INC.",CALIFORNIA,MARK SCHOENFELD
C0397616,06/10/1960,DISSOLVED,"VODIE'S WHEEL ALIGNMENT AND BRAKES NO. 1, INC.",CALIFORNIA,
C0398679,06/30/1960,ACTIVE,"MAR-VAL FOOD STORE NO. 1, INC.",CALIFORNIA,MARK KIDD
C0398720,06/30/1960,DISSOLVED,"A-1 SHEET METAL AND HEATING CO., INC.",CALIFORNIA,
C0399011,07/01/1960,DISSOLVED,"TALONE REALTY COMPANY NO. 1, INC.",CALIFORNIA,
C0399985,07/22/1960,SOS/FTB SUSPENDED,"MARINA GARDENS NO. 1, INC.",CALIFORNIA,SHARON CAMPBELL
C0401306,08/19/1960,FTB SUSPENDED,"CLIMAX MUTUAL NO. 1, INC.",CALIFORNIA,
C0402938,09/26/1960,DISSOLVED,"HAMILTON DRUG STORE, NO. 1, INC.",CALIFORNIA,
C0403932,10/17/1960,FTB SUSPENDED,"CIVIL DEFENSE SURVIVAL GROUP - 1, INC.",CALIFORNIA,
C0403974,10/17/1960,DISSOLVED,"BUD BERNARD BEAUTY SALON NO. 1, INC.",CALIFORNIA,
C0404193,10/20/1960,DISSOLVED,"A-1 ALUMINUM AWNING MFG. CO., INC.",CALIFORNIA,MARION L GREGORY
C0404211,10/21/1960,FTB SUSPENDED,"A-1 TOOL REBUILDERS, INC.",CALIFORNIA,HARRY GILMORE
C0406477,12/14/1960,FTB SUSPENDED,"TANNER LAKE MUTUAL WATER COMPANY NO. 1, INC.",CALIFORNIA,
C0406499,12/14/1960,FTB SUSPENDED,"VETERANS OF WORLD WAR 1. OF THE U. S. A., DEPARTMENT OF CALIFORNIA.   MUSCOY BARRACKS NO. 1187. INCORPORATED.",CALIFORNIA,
C0406527,12/15/1960,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE UNITED STATES OF AMERICA, VACAVILLE    BARRACKS #2080, VACAVILLE, CALIFORNIA.",CALIFORNIA,
C0406608,12/16/1960,FTB SUSPENDED,"ERNEST U. CRUZ NO. 1, INC.",CALIFORNIA,VICTOR GIL
C0407308,01/03/1961,FTB SUSPENDED,UNIVERSITY HOMES MUTUAL NO. 1,CALIFORNIA,
C0410047,02/27/1961,SOS SUSPENDED,"AA-1 SERVICES, INC.",CALIFORNIA,REX D JOHNSON
C0410512,03/06/1961,MERGED OUT,COLUMBIA MANAGEMENT NO. 1,CALIFORNIA,
C0410622,03/07/1961,DISSOLVED,"SMYTH BROS. NO. 1, INC.",CALIFORNIA,
C0412226,04/07/1961,FTB SUSPENDED,1 CALIFORNIA STREET CORPORATION,CALIFORNIA,
C0412379,04/10/1961,FTB SUSPENDED,"VALLEY PARK HIGHLANDS MUTUAL HOMES NO. 1, INC.",CALIFORNIA,
C0412522,04/13/1961,SOS/FTB SUSPENDED,"UNCLE JOHN'S PANCAKE HOUSE OF LOS ANGELES NO. 1, INC,",CALIFORNIA,
C0412886,04/21/1961,FTB SUSPENDED,"CIROD ANAHEIM NO. 1, INC.",CALIFORNIA,
C0414447,05/23/1961,DISSOLVED,"QUEENSBOROUGH MUTUAL NO. 1, INC.",CALIFORNIA,
C0414881,06/01/1961,FTB SUSPENDED,MT. DENNISON MUTUAL WATER CO. NO. 1,CALIFORNIA,JEFF A PLUNK
C0415466,06/12/1961,FTB SUSPENDED,"A-1 MASTER, INC.",CALIFORNIA,THOMAS V GLYNN
C0415750,06/16/1961,FTB SUSPENDED,"VETERANS OF WORLD WAR 1, U. S. A. WEST VALLEY BARRACKS #2021",CALIFORNIA,
C0416406,06/27/1961,FTB SUSPENDED,A-1 CHEMICAL TOILET SERVICE,CALIFORNIA,
C0416689,07/05/1961,DISSOLVED,A-1 PLUMBING COMPANY,CALIFORNIA,
C0416884,07/07/1961,DISSOLVED,"LENOX SQUARE NO. 1, INC.",CALIFORNIA,
C0417747,07/26/1961,FTB SUSPENDED,"A-1 AUTO TOWING, INC.",CALIFORNIA,
C0417930,07/31/1961,FTB SUSPENDED,"CITY MANOR MUTUAL NO. 1, INC.",CALIFORNIA,
C0420512,09/20/1961,FTB SUSPENDED,A-1 PLUMBING COMPANY OF FRESNO,CALIFORNIA,
C0421015,10/02/1961,MERGED OUT,YOUNG AUTO PARTS NO. 1,CALIFORNIA,
C0421147,10/04/1961,ACTIVE,"MCHENRY HIGHLANDS NO. 1, INC.",CALIFORNIA,ROBERT BURGE
C0423236,11/10/1961,FTB SUSPENDED,LAKEVIEW HILLS FALLOUT SHELTER NO. 1,CALIFORNIA,
C0424326,12/04/1961,FTB SUSPENDED,"GAMMAPAN NO. 1, INC.",CALIFORNIA,
C0428060,02/15/1962,MERGED OUT,"A-1 NURSES REGISTRY OF LOS ANGELES, INC.",CALIFORNIA,
C0428721,03/01/1962,DISSOLVED,"SAN JOSE BARRACKS NO. 710, VETERANS OF WORLD WAR 1 OF THE U. S. A.,   DEPARTMENT OF CALIFORNIA, INC.",CALIFORNIA,RALPH W STACY
C0429423,05/13/1962,FTB SUSPENDED,"A-1 BUILDERRS, INC.",CALIFORNIA,
C0430448,04/02/1962,DISSOLVED,R LIQUIDATING CORP. NO. 1,CALIFORNIA,
C0430651,04/03/1962,FTB SUSPENDED,"A-1 HYDRAULICS, INC.",CALIFORNIA,
C0431892,04/30/1962,DISSOLVED,"CHATEAU WEST NO. 1, INC.",CALIFORNIA,
C0432323,05/07/1962,DISSOLVED,YUCAIPA NO. 1 LAND COMPANY,CALIFORNIA,
C0433049,05/21/1962,FTB SUSPENDED,"WOODYBURGER NO. 1, INC.",CALIFORNIA,
C0434037,06/07/1962,FTB SUSPENDED,A-1 CARPET SERVICE,CALIFORNIA,
C0434764,06/20/1962,FTB SUSPENDED,"TEL-1-CLEAR SYSTEMS, INC.",CALIFORNIA,
C0435601,07/05/1962,DISSOLVED,"SAN DIEGO BARRACKS NO. 240, VETERANS OF WORLD WAR 1 OF U. S. A.       DEPARTMENT OF CALIFORNIA",CALIFORNIA,MARIE E BRUMMER
C0437207,08/07/1962,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE U. S. A., INC. SAN LUIS OBISPO         BARRACKS, #1937.",CALIFORNIA,GEORGE M. OLIVE
C0441076,10/30/1962,SURRENDER,WHISPERING LAKES DEVELOPMENT CORPORATION NO. 1,NEVADA,
C0441562,11/09/1962,FTB SUSPENDED,A-1 ENTERPRISES,CALIFORNIA,
C0441642,11/13/1962,DISSOLVED,"NORTHWOOD PARK MUTUAL NO. 1-A, INC.",CALIFORNIA,
C0442582,12/04/1962,FTB SUSPENDED,"THE BIG BRAKE NO. 1, INC.",CALIFORNIA,
C0444019,01/07/1963,DISSOLVED,"NORTHWOOD PARK MUTUAL NO. 1-B, INC.",CALIFORNIA,
C0444020,01/07/1963,DISSOLVED,"NORTHWOOD PARK MUTUAL NO. 1-C, INC.",CALIFORNIA,
C0444252,01/10/1963,FTB SUSPENDED,"A-1 SPECIALTY MFG., INC.",CALIFORNIA,
C0444773,01/21/1963,DISSOLVED,CORNING OLIVE CITY BARRACKS NO. 2792 AND AUXILIARY VETERANS OF WORLD  WAR NO. 1 OF U. S. A.,CALIFORNIA,HERBERT C NELSON
C0448028,03/21/1963,FTB SUSPENDED,"A-1 MONTEREY VAN LINES, INC.",CALIFORNIA,
C0448363,03/28/1963,DISSOLVED,NORTHWOOD PARK IMPROVEMENT ASSOCIATION NO. 1,CALIFORNIA,BARBARA MORELAND
C0449739,04/22/1963,MERGED OUT,PIER 1. IMPORTS OF SAN LEANDRO,CALIFORNIA,
C0449740,04/22/1963,MERGED OUT,PIER 1. IMPORTS OF RICHMOND,CALIFORNIA,
C0450295,05/01/1963,ACTIVE,"SUN PARK, LAKE SAN MARCOS UNIT NO. 1",CALIFORNIA,CYNDA P. DEMAREE
C0450341,05/02/1963,FTB SUSPENDED,"A-1 ENGINEERING CONTRACTORS, INC.",CALIFORNIA,RICK LAPIERRE
C0450768,05/10/1963,DISSOLVED,"VETERANS OF WORLD WAR NO. 1, DEPARTMENT OF CALIFORNIA, BARRACKS NO.   1214",CALIFORNIA,ROSS M DAWSON
C0450803,05/10/1963,FTB SUSPENDED,A-1 BODY SHOP AND GARAGE,CALIFORNIA,
C0451943,06/03/1963,DISSOLVED,A-1 GRIT CO.,CALIFORNIA,
C0451977,06/03/1963,DISSOLVED,"A-1 AMBULANCE SERVICE, INC.",CALIFORNIA,EUGENE DONG
C0452069,06/04/1963,FTB SUSPENDED,"A-1 CONCRETE PUMPING & CONVEYING, INC.",CALIFORNIA,
C0453681,07/03/1963,ACTIVE,"SONS IN RETIREMENT DAMIAN REYNOLDS BRANCH NO. 1, INCORPORATED",CALIFORNIA,RONALD FLAGEL
C0454103,07/11/1963,FTB SUSPENDED,A-1 AMUSEMENT & VENDING,CALIFORNIA,
C0454311,07/15/1963,DISSOLVED,"A-1 APPROVED FIRE CONTROL, INC.",CALIFORNIA,
C0455774,08/09/1963,FTB SUSPENDED,"LYNDY'S COFFEE SHOP NO. 1, INC.",CALIFORNIA,
C0457317,09/11/1963,FTB SUSPENDED,"A-1 INVESGRO, INC.",CALIFORNIA,
C0457664,09/17/1963,MERGED OUT,PIER 1. IMPORTS OF SAN JOSE,CALIFORNIA,
C0458063,09/25/1963,DISSOLVED,"VETERANS OF WORLD WAR 1 OF THE U. S. A. CARMICHAEL BARRACKS #2247,    CORPORATION",CALIFORNIA,
C0458495,10/02/1963,DISSOLVED,VETERANS OF WORLD WAR NO. 1. OF THE U. S. A. OAKDALE BARRACKS NO. 2197,CALIFORNIA,
C0458678,10/02/1963,FTB SUSPENDED,"PAT'S SKI & SPORT SHOP NO. 1, INC.",CALIFORNIA,JOHN F CLARK
C0459025,10/11/1963,ACTIVE,SUNSET HOMES GRANADA VILLAGE CABANA CLUB NO. 1,CALIFORNIA,THOMAS WARREN HUGHES
C0459051,10/11/1963,FTB SUSPENDED,"PACIFIC BARRACKS, 1717, PISMO BEACH, VETERANS OF WORLD WAR 1, USA",CALIFORNIA,
C0460669,11/12/1963,DISSOLVED,"SEBASTOPOL BARRACKS NO. 2411 VETERANS OF WORLD WAR 1 OF THE U. S. A.  INC., SEBASTOPOL, CALIFORNIA",CALIFORNIA,DONALD P KAY
C0461007,11/18/1963,FTB SUSPENDED,"A-1 PRODUCTS, INC.",CALIFORNIA,
C0461158,11/21/1963,FTB SUSPENDED,"A-1 MARTS, INC.",CALIFORNIA,
C0461523,12/02/1963,ACTIVE,PAUMA VALLEY COUNTRY CLUB ESTATES HOME OWNERS' ASSOCIATION NO. 1,CALIFORNIA,JODIE LAWSTON
C0461597,12/03/1963,ACTIVE,"THE FRIENDLY VILLAGE COMMUNITY ASSOCIATION, INC., NO. 1",CALIFORNIA,CHRIS ANN RODERICK
C0461991,12/11/1963,FTB SUSPENDED,A---1 AUTOMOTIVE PRODUCTS,CALIFORNIA,
C0462107,12/13/1963,DISSOLVED,"E. P. ""TED"" WARD BARRACKS NO. 2246 AND AUXILIARY, VETERANS OF WORLD   WAR 1, USA",CALIFORNIA,HOWARD B FOLSOM
C0462688,12/26/1963,DISSOLVED,"A-1 CITRUS CORPORATION, INC.",CALIFORNIA,LEONARD ROSENBERG
C0463708,01/13/1964,DISSOLVED,A-1 PLASTICS INSTALLATION INC.,CALIFORNIA,
C0464941,01/31/1964,MERGED OUT,"SPEEDEE AUTO REPAIR NO. 1, INC.",CALIFORNIA,
C0465834,02/19/1964,FTB SUSPENDED,"BELWOOD MUTUAL NO. A-1, INC.",CALIFORNIA,
C0467894,04/01/1964,ACTIVE,A-1 OFFICE EQUIPMENT,CALIFORNIA,DOUGLAS A GILLIES
C0468032,04/01/1964,FTB SUSPENDED,"A-1 CONCRETE PUMPING CO., INC.",CALIFORNIA,
C0469343,04/21/1964,FTB SUSPENDED,"A-1 USED CARS, INC.",CALIFORNIA,
C0469501,04/23/1964,FTB SUSPENDED,"TAKE 1 PRODUCTIONS, INC.",CALIFORNIA,
C0472028,06/04/1964,FTB SUSPENDED,A-1 PUMPING,CALIFORNIA,GEORGE B TALLYN
C0472190,06/08/1964,FTB FORFEITED,"M:. W:. SONS OF HAITI GRAND LODGE NO 1, OF THE STATE OF WASHINGTON",WASHINGTON,GENE GULLATT
C0472574,06/15/1964,ACTIVE,SURFSIDE HOMEOWNERS ASSOCIATION NUMBER 1,CALIFORNIA,FIRSTSERVICE AGENT CORPORATION (C4151852)
C0473515,06/30/1964,SURRENDER,"TANDY'S PIER 1, IMPORTS OF TEXAS, INC.",TEXAS,
C0474220,07/13/1964,FTB SUSPENDED,WARNOCK ENTERPRISES NO. 1,CALIFORNIA,
C0474809,07/20/1964,FTB SUSPENDED,"ROSE MARIE BEAUTY SALONS, INC., NO. 1",CALIFORNIA,WALDON ROSENBERG
C0475133,07/27/1964,CONVERTED-OUT,"A-1 INTERNATIONAL FOODS, INC.",CALIFORNIA,C T CORPORATION SYSTEM (C0168406)
C0475283,07/29/1964,ACTIVE,SAN JUAN HILLS COMMUNITY ASSOCIATION NO. 1,CALIFORNIA,CHRISTINE KERVICK
C0477358,09/08/1964,MERGED OUT,"PIER 1, IMPORTS OF SACRAMENTO",CALIFORNIA,
C0477359,09/08/1964,MERGED OUT,PIER 1. IMPORTS OF LOS ANGELES,CALIFORNIA,
C0478993,10/06/1964,FTB SUSPENDED,"WORLD MARKET PROPERTIES NO. 1, INC.",CALIFORNIA,
C0479265,10/13/1964,MERGED OUT,A-1 LONG BEACH RENTALS,CALIFORNIA,
C0479268,10/13/1964,MERGED OUT,A-1 SANTA ANA RENTALS,CALIFORNIA,
C0479269,10/13/1964,MERGED OUT,"A-1 EQUIPMENT RENTALS, INC.",CALIFORNIA,
C0482621,12/18/1964,DISSOLVED,"A-1 COAST RENTALS, INC.",CALIFORNIA,STEPHEN R. HOFER
C0482723,12/21/1964,DISSOLVED,"BRIGHTON SQUARE MUTUAL NO. 1-A, INC.",CALIFORNIA,
C0482724,12/21/1964,DISSOLVED,"BRIGHTON SQUARE MUTUAL NO. 1-B, INC.",CALIFORNIA,
C0485707,02/11/1965,FTB SUSPENDED,"LAKE MONT PINES MUTUAL DISPOSAL CO. NO. 1, INC.",CALIFORNIA,
C0487859,03/22/1965,FTB SUSPENDED,"A-1 AUTO DRIVING SCHOOL, INC.",CALIFORNIA,
C0488870,04/07/1965,FTB SUSPENDED,"A-1 AUTOMATIC TRANSMISSION, INC.",CALIFORNIA,
C0489806,04/26/1965,FTB SUSPENDED,"BRIGHTON SQUARE MUTUAL NO. 1-C, INC.",CALIFORNIA,
C0490026,04/30/1965,FTB SUSPENDED,"A-1 AEROSOL, INC.",CALIFORNIA,
C0491365,05/25/1965,FTB SUSPENDED,"BRIGHTON SQUARE MUTUAL NO. 1-D, INC.",CALIFORNIA,
C0492383,06/14/1965,DISSOLVED,"REX-GEN INC., NO. 1",CALIFORNIA,WILLIAM R MILLER
C0492458,06/16/1965,DISSOLVED,"MONTEVIDEO MUTUAL NO. 1-A, INC.",CALIFORNIA,
C0492813,06/21/1965,ACTIVE,GREEN VALLEY HOMEOWNERS' COMMUNITY ASSOCIATION NO. 1,CALIFORNIA,"POWERSTONE PROPERTY MANAGEMENT, INC. (C1732387)"
C0493693,07/08/1965,ACTIVE,MONTEVIDEO IMPROVEMENT ASSOCIATION NO. 1,CALIFORNIA,RON BLUMSTEIN
C0494136,07/16/1965,FTB SUSPENDED,359 WEST AVENUE 1 CORPORATION,CALIFORNIA,
C0494223,07/19/1965,DISSOLVED,"MONTEVIDEO MUTUAL NO. 1-B, INC.",CALIFORNIA,
C0494863,07/30/1965,FTB SUSPENDED,"A-1 CABINETS & FIXTURES, INC.",CALIFORNIA,
C0495347,08/11/1965,ACTIVE,HIGHLAND OAKS IMPROVEMENT ASSOCIATION NO. 1,CALIFORNIA,ED ETEMAD
C0495669,08/16/1965,DISSOLVED,"MONTEVIDEO MUTUAL NO. 1-C, INC.",CALIFORNIA,
C0495698,08/16/1965,FTB SUSPENDED,"A-1 BONDED T. V., INC.",CALIFORNIA,
C0495871,08/19/1965,FTB SUSPENDED,"MR. STEAK NO. 1, INC.",CALIFORNIA,JERRY S RILEY
C0499842,11/09/1965,FTB SUSPENDED,THE CIRCUS RESTAURANT NO. 1,CALIFORNIA,
C0503112,01/17/1966,MERGED OUT,A-1 MACHINERY RENTAL COMPANY,CALIFORNIA,
C0505323,03/01/1966,DISSOLVED,"D. H. OVERMYER CO., INC. NO. 1",CALIFORNIA,
C0505798,03/10/1966,DISSOLVED,PAUL'S DRUGS NO. 1,CALIFORNIA,LARRY L. POWERS
C0506562,03/24/1966,FTB SUSPENDED,"A-1 SHOP, INC.",CALIFORNIA,
C0508307,04/27/1966,ACTIVE,SAN DIEGO COUNTY BUILDING TRADES COUNCIL FAMILY HOUSING CORPORATION   NO. 1,CALIFORNIA,SHARON K RAMIREZ
C0508828,05/09/1966,ACTIVE,WINDSOR GARDENS UNIT NO. 1,CALIFORNIA,ROBERTA ROMER
C0509081,05/12/1966,FTB SUSPENDED,"VETERANS OF WORLD WAR 1 OF THE U. S. A., INCORPORATED, 14TH ANNUAL    NATIONAL CONVENTION CORPORATION",CALIFORNIA,
C0509270,05/17/1966,DISSOLVED,A-1 GYPSUM CORPORATION,CALIFORNIA,
C0509700,05/25/1966,FTB SUSPENDED,THE NEWPORT BLUFFS HOMEOWNERS' COMMUNITY ASSOCIATION NO. 1,CALIFORNIA,
C0509812,05/27/1966,DISSOLVED,"SUN CITY BARRACKS NO. 296, INC., VETERANS OF WORLD WAR 1, USA,        DEPARTMENT OF CALIFORNIA",CALIFORNIA,L. B. TWIST
C0514159,08/23/1966,DISSOLVED,"VETERANS OF WORLD WAR 1, DEPARTMENT OF CALIFORNIA, BARRACKS NO. 251,  INC.",CALIFORNIA,
C0515143,09/16/1966,FTB SUSPENDED,"NO. 1 JOSEPH P. ENZ, INC.",CALIFORNIA,
C0515198,09/16/1966,FTB SUSPENDED,"VALUE SALES, INC. NO. 1",CALIFORNIA,
C0515535,09/26/1966,FTB SUSPENDED,"A-1 PLUMBING CO., INC.",CALIFORNIA,JAN SKELTON
C0516511,10/13/1966,DISSOLVED,STOCKTON CNA NO. 1 CREDIT UNION,CALIFORNIA,
C0516728,10/18/1966,FTB SUSPENDED,JCT CORPORATION NO. 1,CALIFORNIA,
C0517038,10/25/1966,MERGED OUT,"NO. 1 PEGGY COON, INC.",CALIFORNIA,
C0517297,10/31/1966,FTB SUSPENDED,"A-1 WESTERN, INCORPORATED",CALIFORNIA,H C BAILEY
C0518294,11/22/1966,FTB SUSPENDED,NO 1 POULSON INC,CALIFORNIA,ALVA POULSON
C0519098,12/12/1966,DISSOLVED,"A-1 INSULATION, INC.",CALIFORNIA,
C0519226,12/15/1966,FTB SUSPENDED,"A-1 CRUSHFORM GRINDING, INC.",CALIFORNIA,
C0520626,01/13/1967,ACTIVE,"CALIFORNIA DEPARTMENTAL SALON NO. 1, LA BOUTIQUE DES HUIT CHAPEAUX ET QUARANTE FEMMES",CALIFORNIA,LINDA MAE FARISS
C0522926,03/06/1967,FTB SUSPENDED,A-1 DRUGS,CALIFORNIA,
C0524546,04/04/1967,ACTIVE,HIGH MEADOW HOME OWNERS' ASSOCIATION NO. 1,CALIFORNIA,CAROLYN DONAWAY
C0526054,05/03/1967,DISSOLVED,A-1 METALS,CALIFORNIA,AUGUST KRUTZSCH
C0526344,05/09/1967,FTB SUSPENDED,"MIDDLETON NO. 1-BELLA VISTA, INC.",CALIFORNIA,
C0526601,05/12/1967,DISSOLVED,"THE SIRES OF THE FRATERNAL ORDER OF EAGLES, UNIT 1",CALIFORNIA,DOUGLAS STANTON
C0527362,05/29/1967,ACTIVE,DIACK 1 INC.,CALIFORNIA,HERB ASPELL
C0527546,06/01/1967,SOS/FTB SUSPENDED,"A-1 ELECTRIC COMPANY, INC.",CALIFORNIA,THOMAS A PIEPER
C0529620,07/10/1967,FTB SUSPENDED,"M-1 MECHANICAL, INC.",CALIFORNIA,JOHN C. TEDFORD
C0530591,07/31/1967,DISSOLVED,"A-1 COAST SANITATION, INC.",CALIFORNIA,STEPHEN R. HOFER
C0530831,08/02/1967,FTB SUSPENDED,A-1 DELIVERY INC.,CALIFORNIA,
C0531738,08/21/1967,FTB SUSPENDED,"AXT ENTERPRISES, INC. NO. 1",CALIFORNIA,
C0533316,09/21/1967,FTB SUSPENDED,"BARN NO. 1, INC.",CALIFORNIA,
C0534101,10/04/1967,SOS/FTB SUSPENDED,"SALUTE A-1 AUTO PARTS, INCORPORATED",CALIFORNIA,MARTIN SALUTZ
C0534766,10/19/1967,ACTIVE,RAYMUS VILLAGE HOMES ASSOCIATION NUMBER 1,CALIFORNIA,SANDRA CASTRO
C0534832,10/20/1967,FTB SUSPENDED,"NO. 1 ELIZABETH DAUPHINAIS, INC.",CALIFORNIA,
C0536999,12/05/1967,FTB SUSPENDED,"NO. 1 NORMA SMITH, INC.",CALIFORNIA,
C0537631,12/15/1967,FTB SUSPENDED,ST. MORITZ ISLE TOWNHOUSES HOME OWNERS' ASSOCIATION NO. 1,CALIFORNIA,
C0538006,12/26/1967,ACTIVE,MADISON VILLA ESTATES HOMEOWNERS ASSOCIATION NO. 1,CALIFORNIA,ROLF M CROCKER
C0538325,01/02/1968,SOS/FTB SUSPENDED,A-1 CLUTCH CO.,CALIFORNIA,** RESIGNED ON 12/22/2017
C0538563,01/04/1968,FTB SUSPENDED,"A-1 COLLECTIONS AND REPOSSESSIONS OF NORTHERN CALIFORNIA, INC.",CALIFORNIA,
C0540589,02/09/1968,MERGED OUT,"S & H NO. 1, INC.",CALIFORNIA,EDWARD A DE NIKE
C0541503,02/28/1968,FTB SUSPENDED,"TENNIS - 1, INC.",CALIFORNIA,
C0541839,03/05/1968,FTB SUSPENDED,"A-1 RESTAURANT EQUIPMENT AND SUPPLIES, INCN.",CALIFORNIA,
C0544563,04/23/1968,FTB SUSPENDED,"A-1 EXCAVATING RENTALS, INC.",CALIFORNIA,
C0545097,05/02/1968,FTB SUSPENDED,"A-1 SAFER PLUMBING & HEATING CO., INC.",CALIFORNIA,
C0545781,05/15/1968,FTB SUSPENDED,"NO. 1 LEONESIO & WELLMAN, INC.",CALIFORNIA,
C0547620,06/17/1968,MERGED OUT,"STEAK AND ALE OF LOS ANGELES NO. 1, INC.",CALIFORNIA,
C0548052,06/25/1968,FTB SUSPENDED,"NO. 1 WELLMAN & BOOTS, INC.",CALIFORNIA,
C0548916,07/08/1968,FTB SUSPENDED,"NO. 1 EDWARD J. ROBERTS, INC.",CALIFORNIA,
C0549383,07/16/1968,FTB SUSPENDED,"VETERANS OF WORLD WAR 1, DEPARTMENT OF CALIFORNIA, EUREKA BARRACKS    NO. 1664 AND ITS AUXILIARY",CALIFORNIA,
C0550134,07/29/1968,SURRENDER,A-1 BIT & TOOL COMPANY,TEXAS,
C0550306,07/31/1968,DISSOLVED,STOCKTON BUSINESS IMPROVEMENT AREA 1-B,CALIFORNIA,EDMOND S COY
C0551629,08/21/1968,MERGED OUT,"NO. 1 YEDCO, INC.",CALIFORNIA,ALFRED L LUCAS
C0551630,08/21/1968,FTB SUSPENDED,"NO. 1 GYM, INC.",CALIFORNIA,
C0552136,08/29/1968,DISSOLVED,"MOBILE REPAIR VESSEL CHARTER NO. 1, INC.",CALIFORNIA,C T CORPORATION SYSTEM (C0168406)
C0553903,09/30/1968,MERGED OUT,"HYATT COFFEE SHOPPE - SAN DIEGO NO. 1, INC.",CALIFORNIA,
C0555248,10/17/1968,FTB FORFEITED,KENTUCKY ROAST BEEF GLENDALE NO. 1,NEVADA,
C0555776,10/25/1968,FTB SUSPENDED,"AMACKER NO. 1, INC.",CALIFORNIA,
C0559877,01/02/1969,ACTIVE,"A-1 SEPTIC TANK SERVICE, INC.",CALIFORNIA,CHRISTINE A ROBISON
C0560253,01/07/1969,ACTIVE,BALLENA BAY TOWNHOUSE ASSOCIATION NO. 1,CALIFORNIA,DAN NELSON
C0560338,01/08/1969,FTB SUSPENDED,"NO. 1 BABER & ASSOCIATES, INC.",CALIFORNIA,
C0564148,03/04/1969,ACTIVE,FRANKLIN VILLA ESTATES UNIT NO. 1 HOMEOWNERS ASSOCIATION,CALIFORNIA,LISA LINDSAY
C0564589,03/11/1969,FTB SUSPENDED,"NO. 1 AUDREY BERNSTEIN, INC.",CALIFORNIA,
C0564847,03/12/1969,FTB SUSPENDED,"A-1 HOME APPLIANCE CO., INC.",CALIFORNIA,KENT W EASTMAN
C0567238,04/11/1969,DISSOLVED,"DISTRICT 1, ASSOCIATION FOR MENTALLY & PHYSICALLY HANDICAPPED, INC.",CALIFORNIA,RALPH HERMAN
C0568667,04/29/1969,DISSOLVED,"1 DAY FOTO, INC.",CALIFORNIA,J. J. SMITH
C0568738,04/30/1969,FTB SUSPENDED,"A-1 EQUIPMENT RENTALS OF SANTA BARBARA, INC.",CALIFORNIA,
C0568747,04/30/1969,DISSOLVED,A-1 TRUCKING COMPANY,CALIFORNIA,ENOLIA SCOTT
C0572076,06/10/1969,ACTIVE,GREENBACK ESTATES UNIT NOS. 1 AND 2 HOMEOWNERS ASSOCIATION,CALIFORNIA,PAMELA CIAPESSONI
C0575157,07/10/1969,SOS/FTB SUSPENDED,"A-1 NUT & BOLT CO., INC.",CALIFORNIA,ELMER YOSHINO
C0577198,08/07/1969,FTB SUSPENDED,A - 1 BARREL PLATING CO.,CALIFORNIA,
C0577837,08/14/1969,DISSOLVED,"VETERANS OF WORLD WAR 1, DEPARTMENT OF CALIFORNIA, BARRACKS NO. 258,  INCORPORATED",CALIFORNIA,GORDON A HEBERT
C0582480,10/09/1969,FTB SUSPENDED,"CANTERBURY FISH 'N' CHIPS NO. 1, INC.",CALIFORNIA,
C0582852,10/15/1969,FTB SUSPENDED,"DEALER'S PROFIT AGENCY, GROUP NO. 1, INC.",CALIFORNIA,
C0583422,10/21/1969,FTB SUSPENDED,"A-1 MOBILE HOMES, INC.",CALIFORNIA,
C0583555,10/22/1969,DISSOLVED,24-1 CORPORATION,CALIFORNIA,
C0584910,11/10/1969,FTB SUSPENDED,"STATION 1 MUSIC, INC.",CALIFORNIA,
C0588328,12/29/1969,ACTIVE,MISSION RIDGE HOMEOWNERS COMMUNITY ASSOCIATION NO. 1,CALIFORNIA,CORINA CASTRO BUHLER
C0588672,01/02/1970,DISSOLVED,A-1 SCHOOL EQUIPMENT INCORPORATED,CALIFORNIA,
C0590284,01/21/1970,FTB SUSPENDED,"NO. 1 BARBARA STAFFORD, INC.",CALIFORNIA,
C0590942,01/30/1970,DISSOLVED,"A-1 CESSPOOL SERVICE, INC.",CALIFORNIA,PAUL D SPILLMAN
C0592532,02/24/1970,FTB SUSPENDED,A-1 BETTER HOMES AND BUILDINGS INSPECTION SERVICE,CALIFORNIA,WALTER GLOSKOWSKI
C0592584,02/24/1970,FTB SUSPENDED,"A-1 ANSWERING SERVICE OF WEST LOS ANGELES, INC.",CALIFORNIA,
C0592748,02/25/1970,SOS/FTB SUSPENDED,"R W -1, INC.",CALIFORNIA,HAROLD GLICK
C0594161,03/17/1970,DISSOLVED,EXHIBIT 1,CALIFORNIA,
